	Unnamed: 0	key	Page Links	Titles	Gender	IsDeleted	Word Count
41	41	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/SenesTech	SenesTech	Female	False	0
42	42	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Ramsey_Orta	Ramsey Orta	Male	False	0
43	43	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Geraldine_Weir-Rogers_v._Sf_Trust_Ltd	Geraldine Weir-Rogers v. Sf Trust Ltd	Female	False	0
44	44	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Alma_and_Lila_L%C3%A9vy	Alma and Lila Lévy	Female	False	0
45	45	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/One_Night_(2009_film)	One Night (2009 film)	Female	False	0
46	46	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Kanish_Sharma	Kanish Sharma	Male	False	0
47	47	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Edwin_C.O._Uzor	Edwin C.O. Uzor	Male	False	0
48	48	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Shivani_Rajasekhar	Shivani Rajasekhar	Female	True	0
49	49	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Atlantis_Group	Atlantis Group	Male	True	0
50	50	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Prof._Crispus_Makau_Kiamba	Prof. Crispus Makau Kiamba	Male	False	0
51	51	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Kshitij_Tarey	Kshitij Tarey	Male	True	0
52	52	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Thoudang	Thoudang	Female	True	0
53	53	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Soul_Button	Soul Button	Male	False	0
54	54	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Barry_Shrier	Barry Shrier	Male	True	0
55	55	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/LAPA_Publishers	LAPA Publishers	Male	True	0
56	56	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Dilly_Braimoh	Dilly Braimoh	Male	True	0
57	57	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/World_Book_of_Records	World Book of Records	Male	True	0
58	58	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Laman_Ama	Laman Ama	Female	False	0
59	59	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Hu_Xingdou	Hu Xingdou	Male	False	0
60	60	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Mohammad-Ali_Abdollahi	Mohammad-Ali Abdollahi	Male	True	0
61	61	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Camila_Morrone	Camila Morrone	Female	False	0
62	62	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Ilirian_Gjata	Ilirian Gjata	Male	True	0
63	63	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Eritrea_at_the_2022_Winter_Olympics	Eritrea at the 2022 Winter Olympics	Male	True	0
64	64	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Naum_Koen	Naum Koen	Male	True	0
65	65	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Alana_Bunte	Alana Bunte	Female	True	0
66	66	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Catalina_(actress)	Catalina (actress)	Female	True	0
67	67	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Paperon_Intelligence_Agency	Paperon Intelligence Agency	Male	True	0
68	68	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Raza_Talish_(actor)	Raza Talish (actor)	Male	False	0
69	69	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/In_the_Zone_of_Special_Attention	In the Zone of Special Attention	Male	False	0
70	70	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/The_Brotherhood_(professional_wrestling)	The Brotherhood (professional wrestling)	Male	False	0
71	71	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/The_Tennessee_Volunteerz	The Tennessee Volunteerz	Male	True	0
72	72	Wikipedia:Articles for deletion/Log/2019 June 9	https://en.wikipedia.org/wiki/Larry_Stephens_(wrestler)	Larry Stephens (wrestler)	Male	True	0
73	73	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Enakshi_Ray_Mitra	Enakshi Ray Mitra	Female	True	0
74	74	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/The_King_of_Pirates	The King of Pirates	Male	False	0
75	75	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Valentina_Zelyaeva	Valentina Zelyaeva	Female	True	0
76	76	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Ladislav_pl._Ki%C5%A1	Ladislav pl. Kiš	Male	True	0
77	77	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Gyroxus	Gyroxus	Female	True	0
78	78	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/FlannelJax%27s	FlannelJax's	Female	True	0
79	79	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Willis_Ricketts	Willis Ricketts	Male	True	0
80	80	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Sam_Alexander_(Marine)	Sam Alexander (Marine)	Male	False	0
81	81	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/David_Sidoni	David Sidoni	Male	True	0
82	82	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Princella_Smith	Princella Smith	Female	True	0
83	83	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Codeko	Codeko	Male	True	0
84	84	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Monroe_Schwarzlose	Monroe Schwarzlose	Male	True	0
85	85	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/YV_Rajesh	YV Rajesh	Male	False	0
86	86	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Dario_Hunter_2020_presidential_campaign	Dario Hunter 2020 presidential campaign	Male	False	0
87	87	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Dario_Hunter	Dario Hunter	Male	False	0
88	88	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Bob_Cohee	Bob Cohee	Male	True	0
89	89	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Bridgette_Raes	Bridgette Raes	Female	True	0
90	90	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Ehud_Arye_Laniado	Ehud Arye Laniado	Male	True	0
91	91	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Aleksandr_Smolyar	Aleksandr Smolyar	Male	True	0
92	92	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Erick_Guerrero	Erick Guerrero	Male	True	0
93	93	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Wayne_H._Babbitt	Wayne H. Babbitt	Male	True	0
94	94	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Ahmed_Adel_(actor)	Ahmed Adel (actor)	Male	True	0
95	95	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Alliye	Alliye	Female	True	0
96	96	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Laforet	Laforet	Female	False	0
97	97	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Galandar_Janbakhishov	Galandar Janbakhishov	Male	True	0
98	98	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Alex_Waters	Alex Waters	Male	True	0
99	99	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Arun_Singhaniya	Arun Singhaniya	Male	True	0
100	100	Wikipedia:Articles for deletion/Log/2019 June 10	https://en.wikipedia.org/wiki/Jonathan_M._Parisen	Jonathan M. Parisen	Male	True	0
